attempt_num,features                           ,epochs_run,final_mae         ,final_val_mae     ,final_rmse        ,final_val_rmse    ,coeff_determination
2003       ," length month cpa avg SOG draught",31        ,3.6147680356584746,3.4531652331352234,5.232936019733034 ,5.02811075901163  ,0.44740328192710876
2005       ," length month cpa avg SOG draught",25        ,3.6305656827729322,3.379873713542675 ,5.0952300153929615,4.718827194180982 ,0.5222818532894398
2006       ," length month cpa avg SOG draught",31        ,3.806044099659755 ,3.5575734972953796,5.272164759964778 ,4.898245445613203 ,0.46103313976320726
2007       ," length month cpa avg SOG draught",34        ,3.911981935336672 ,3.8885750770568848,5.37428361465191  ,5.339164943530641 ,0.35444081137920247
2008       ," length month cpa avg SOG draught",30        ,4.0094527261010535,3.941238288221688 ,5.488676488810572 ,5.411528977854498 ,0.4292337853333046
2009       ," length month cpa avg SOG draught",25        ,4.084696026506095 ,4.052148268140596 ,5.575407117810743 ,5.49602995658743  ,0.39475518362275486
2010       ," length month cpa avg SOG draught",30        ,3.7692723072808363,3.5560244691782983,5.157957330243341 ,4.728919987020822 ,0.5113481149591249
2011       ," length month cpa avg SOG draught",31        ,4.037594136698493 ,3.829140601486995 ,5.520912189319216 ,5.098426169362561 ,0.4112654369452904
2012       ," length month cpa avg SOG draught",30        ,4.146530974322352 ,4.119866313605473 ,5.63717748050032  ,5.6144515111528595,0.30304684823956984
2013       ," length month cpa avg SOG draught",29        ,4.1677761538275355,4.038216245585475 ,5.603107343048885 ,5.3873256732677595,0.40426818666786984
2014       ," length month cpa avg SOG draught",42        ,3.398542281676983 ,3.337322716055245 ,4.912582253587657 ,4.862495759437824 ,0.5185147390283388
2015       ," length month cpa avg SOG draught",13        ,3.4228998418512013,3.0310105763632675,4.557503648461966 ,4.178334001837106 ,0.6395251905095989
2016       ," length month cpa avg SOG draught",39        ,3.7282839150264344,3.796199576608066 ,5.211456773198884 ,5.2695291001221225,0.41747579492371656
2017       ," length month cpa avg SOG draught",23        ,3.9051188756679664,3.877199717636766 ,5.436840699458944 ,5.390716515738388 ,0.4207337097875003
2018       ," length month cpa avg SOG draught",63        ,3.437037775434297 ,3.2875169310076484,4.883836576034283 ,4.648560289678903 ,0.5381713756199541
2019       ," length month cpa avg SOG draught",32        ,4.062694143426829 ,4.093085350661442 ,5.426103885420438 ,5.5142936747649625,0.3777291199256634
2020       ," length month cpa avg SOG draught",32        ,3.8218324866788143,3.5913535356521606,5.21333000495516  ,4.986947565243162 ,0.48257710707598717
2021       ," length month cpa avg SOG draught",75        ,3.26704636113397  ,3.377366460602859 ,4.721772003173828 ,4.885124761482765 ,0.5299940417552816
2022       ," length month cpa avg SOG draught",44        ,3.7353099436595523,3.455461855592399 ,5.298755567649315 ,4.8882730993731265,0.48642186769123735
2024       ," length month cpa avg SOG draught",48        ,3.3429330172209903,3.2350336004947793,4.865488895876655 ,4.706485061809935 ,0.5330592496641751
2025       ," length month cpa avg SOG draught",22        ,4.305564686347698 ,4.359439467561656 ,5.600672809008894 ,5.694867027216945 ,0.35831024831738967
2026," length month cpa avg SOG draught",19,4.055552714446495,3.945759025113336,5.386141558351188,5.276136501082059,0.4416022403486844
2027," length month cpa avg SOG draught",32,3.8185208731684193,3.6477840481133295,0.5537586016387775,0.49361188504202613,0.5203254901129624
